session_id,date,start,end,hall,venue_key,place,track,track_curator,kind,title,speaker_keys,speaker_slugs,organizer_key
g8-2026-e046,2026-09-11,18:30,18:40,Центр Внутри,хлебозавод №9,Хлебозавод,Предметный дизайн,Кира Полянина,talk,Предметный дизайн сегодня: карта индустрии в России и в мире,татьяна белохина,tatyana-belohina,g8
g8-2026-e047,2026-09-11,18:40,18:50,Центр Внутри,хлебозавод №9,Хлебозавод,Предметный дизайн,Кира Полянина,talk,От идеи к объекту: как рождается предмет,дима логинов,dima-loginov,g8
g8-2026-e048,2026-09-11,18:50,19:00,Центр Внутри,хлебозавод №9,Хлебозавод,Предметный дизайн,Кира Полянина,talk,Когда предмет становится пространством: как создаётся интерьерная история,ксения караваева; мурат гукетлов,kseniya-karavaeva; murat-guketlov,g8
g8-2026-e049,2026-09-11,19:00,20:00,Центр Внутри,хлебозавод №9,Хлебозавод,Предметный дизайн,Кира Полянина,disc,Дискуссия: Кто и как создаёт новую сцену предметного дизайна в России?,кира полянина; дима логинов; татьяна белохина; ксения караваева; мурат гукетлов,kira-polyanina; dima-loginov; tatyana-belohina; kseniya-karavaeva; murat-guketlov,g8
g8-2026-e051,2026-09-11,20:20,,Центр Внутри,хлебозавод №9,Хлебозавод,Предметный дизайн,Кира Полянина,special,КИНОПОКАЗ GIFF,,,g8
g8-2026-e052,2026-09-11,10:40,11:00,Котельная,хлебозавод №9,Хлебозавод,Медиа,"Андрей Червонский, Соня Гофина",talk,"5 стрёмных решений, которые мне пришлось принять как главреду медиа за последний год",оксана запевалова,oksana-zapevalova,g8
g8-2026-e053,2026-09-11,11:00,11:20,Котельная,хлебозавод №9,Хлебозавод,Медиа,"Андрей Червонский, Соня Гофина",talk,Заткнись и забери мои деньги: почему спокойствие стало главным товаром,татьяна эшназарова,tatyana-eshnazarova,g8
g8-2026-e054,2026-09-11,11:20,11:40,Котельная,хлебозавод №9,Хлебозавод,Медиа,"Андрей Червонский, Соня Гофина",talk,Зачем и кому нужны коллаборации? И как их делать соответственно,дарья решке,darya-reshke,g8
g8-2026-e055,2026-09-11,11:40,12:00,Котельная,хлебозавод №9,Хлебозавод,Медиа,"Андрей Червонский, Соня Гофина",talk,Дикий диджитал для дикого эфира,дарья переходюк,darya-perehodyuk,g8
g8-2026-e057,2026-09-11,12:20,12:40,Котельная,хлебозавод №9,Хлебозавод,Медиа,"Андрей Червонский, Соня Гофина",talk,"ЧМ-2026 в главных сюжетах Спортса""",влад воронин,vlad-voronin,g8
g8-2026-e058,2026-09-11,12:40,13:00,Котельная,хлебозавод №9,Хлебозавод,Медиа,"Андрей Червонский, Соня Гофина",talk,Презентация нового СМИ,александр сокольников,aleksandr-sokolnikov,g8
g8-2026-e059,2026-09-11,13:00,13:30,Котельная,хлебозавод №9,Хлебозавод,Медиа,"Андрей Червонский, Соня Гофина",disc,Дискуссия: Куда перетекают медиа и что вообще сегодня считается медиа,эльвина абибуллаева; зелим габисов; эльбрус такулов; катя иванова,elvina-abibullaeva; zelim-gabisov; elbrus-takulov; katya-ivanova,g8
g8-2026-e060,2026-09-11,13:30,13:50,Котельная,хлебозавод №9,Хлебозавод,Медиа,"Андрей Червонский, Соня Гофина",talk,PR и СМИ. Антагонисты или партнеры?,дмитрий щугорев,dmitrii-schugorev,g8
