name,entity_key,slug,profile_url,in_afisha_graph,has_profile_page,sessions,role,sections,halls,session_ids
Виктория Василевская,виктория василевская,viktoriya-vasilevskaya,https://www.design-events.fun/speaker/viktoriya-vasilevskaya,0,0,1,лидер проекта Универмаг Точка Банк,Дизайн,Бойлерная,e010
Виктория Горшкова,виктория горшкова,viktoriya-gorshkova,https://www.design-events.fun/speaker/viktoriya-gorshkova,0,0,1,руководитель команды внутренних событий и комьюнити Яндекс,REDDAY,Гостиная,e110
Виталий Быков,виталий быков,vitalii-bykov,https://www.design-events.fun/speaker/vitalii-bykov,1,1,1,"генеральный директор REDKEDS, идеолог и сооснователь фестиваля G8",,Бойлерная,e003
Виталий Урезченко,виталий урезченко,vitalii-urezchenko,https://www.design-events.fun/speaker/vitalii-urezchenko,0,0,1,"Ex-CMO Yota, CarPrice, PREMIER, Tutu.ru и СберМобайла",Big Picture,Лекторий,e132
Влад Воронин,влад воронин,vlad-voronin,https://www.design-events.fun/speaker/vlad-voronin,0,0,1,"главный редактор Спортса""",Медиа,Котельная,e057
Влад Сидоров,влад сидоров,vlad-sidorov,https://www.design-events.fun/speaker/vlad-sidorov,0,0,1,,Стендап,Котельная,e079
Влад Ситников,влад ситников,vlad-sitnikov,https://www.design-events.fun/speaker/vlad-sitnikov,0,0,1,,Клуб,Лекторий,e141
Владимир Гранкин,владимир гранкин,vladimir-grankin,https://www.design-events.fun/speaker/vladimir-grankin,0,0,1,основатель LAB Production,Big Picture,Лекторий,e129
Владимир Гуринович,владимир гуринович,vladimir-gurinovich,https://www.design-events.fun/speaker/vladimir-gurinovich,0,0,1,,Стендап,Котельная,e079
Григорий Туманов,григорий туманов,grigorii-tumanov,https://www.design-events.fun/speaker/grigorii-tumanov,1,1,1,"контент-директор медиабренда «Правила жизни», автор тг-канала «Мужчина, вы куда?», журналист",Медиа,Котельная,e061
Гульнара Туктарова,гульнара туктарова,gulnara-tuktarova,https://www.design-events.fun/speaker/gulnara-tuktarova,0,0,1,основатель Decoding,Дизайн,Бойлерная,e010
Гюльнара Акамова,гюльнара акамова,gyulnara-akamova,https://www.design-events.fun/speaker/gyulnara-akamova,0,0,1,генеральный директор АНО «Агентство креативных индустрий» (Правительство Москвы),,Бойлерная,e003
ДЕНГАДДЕН,денгадден,dengadden,https://www.design-events.fun/speaker/dengadden,0,0,1,"креатор, сценарист в агентстве, TikTok- и Instagram-блогер",Блогеры,Simple Music,e104
Даниил Кожаринов,даниил кожаринов,daniil-kozharinov,https://www.design-events.fun/speaker/daniil-kozharinov,0,0,1,"игротехник, социотехник, футуролог, психолог, визионер",Konstruct и Слой,Konstruct Space,e151
Даня Крастер,даня крастер,danya-kraster,https://www.design-events.fun/speaker/danya-kraster,0,0,1,блогер и изобретатель,Блогеры,Simple Music,e103
Дарья Переходюк,дарья переходюк,darya-perehodyuk,https://www.design-events.fun/speaker/darya-perehodyuk,0,0,1,руководитель диджитал-маркетинга «Нового Радио»,Медиа,Котельная,e055
Дарья Решке,дарья решке,darya-reshke,https://www.design-events.fun/speaker/darya-reshke,0,0,1,издатель журнала «Москвичка» и главный редактор журнала «Огород»,Медиа,Котельная,e054
Денис Глазин,денис глазин,denis-glazin,https://www.design-events.fun/speaker/denis-glazin,0,0,1,A&R-директор S&P Records,Музыка,Simple Music,e091
Денис Лапшинов,денис лапшинов,denis-lapshinov,https://www.design-events.fun/speaker/denis-lapshinov,0,0,1,основатель независимого креативного агентства SLAVA,Реклама,Бойлерная,e016
Диана Халилова,диана халилова,diana-halilova,https://www.design-events.fun/speaker/diana-halilova,0,0,1,руководитель отдела маркетинг-коммуникаций Бургер Кинг,Маркетинг,Бойлерная,e005
Дмитрий Костюченко,дмитрий костюченко,dmitrii-kostyuchenko,https://www.design-events.fun/speaker/dmitrii-kostyuchenko,0,0,1,нейротипичный иллюстратор,Дизайн,Бойлерная,e011
Дмитрий Мордвинцев,дмитрий мордвинцев,dmitrii-mordvintsev,https://www.design-events.fun/speaker/dmitrii-mordvintsev,1,0,1,руководитель студии графического дизайна ABCdesign,Издательское дело,Котельная,e077
Дмитрий Харьков,дмитрий харьков,dmitrii-harkov,https://www.design-events.fun/speaker/dmitrii-harkov,0,0,1,директор по маркетингу и пиару издательства Ad Marginem,Издательское дело,Котельная,e076
